번호,구분,계약명,계약금액,계약일,계약상대자
38,구매/기타,[해양학과] 자연과학대학 캡스톤디자인 실험실습비 지출 요청(HPLC syringes 1750RNR Hamilton 20890-U 등)),198220,2021-12-08,카드구매
39,구매/기타,[예술체육대학 디자인학부] 재료비(리소잉크)구입,3124000,2021-12-08,카드구매
40,구매/기타,[전자] 실험실습재료 구매 요청 16,1012000,2021-12-08,카드구매
41,구매/기타,2021학년도 전기 졸업증서(학위증) 케이스 및 내지 제작,8155400,2021-12-08,청운기획
42,구매/기타,패션산업학과 실험실습재료 구매 (평량병),159500,2021-12-08,카드구매
43,구매/기타,[해양학과] 자연과학대학 실험실습비 지출 요청(50ml pipet 외 ),468490,2021-12-08,카드구매
44,구매/기타,"[국제개발협력센터] 부서운영 사무용품 구입(펜, 인주 등)",155700,2021-12-08,카드구매
45,구매/기타,[예술체육대학 공연예술학과] 수업재료(A4용지) 구입,95880,2021-12-08,카드구매
46,구매/기타,[메카트로닉스공학과] 2021년 EATED 프로그램 재료비 지출(11월),117102,2021-12-08,카드구매
47,구매/기타,[기계공학과] 2021-2학기 PBL 교과목 재료 구입_11월,2136379,2021-12-08,카드구매
48,구매/기타,[기계공학과] 2021-2학기 PBL 교과목 재료 구입_11월(2)(수정),2325819,2021-12-08,카드구매
49,구매/기타,[도시공학과] 실험실습재료 구입_토탈스테이션 배터리SBT-65Q,990000,2021-12-08,카드구매
50,구매/기타,수학과 2021년 학부생 연구실 체험 지원 사업(2차) 실험실습비 지출_이윤복 교수님 연구실,583100,2021-12-08,카드구매
51,구매/기타,실내 화분관리용 소모품 구매(화분받침),109700,2021-12-08,카드구매
52,구매/기타,세무회계학과 조명스탠드 및 젠더(애플) 소모품 견적 요청,479600,2021-12-08,카드구매
53,구매/기타,(나노바이오전공)소모품(A4복사용지) 구입,110000,2021-12-08,카드구매
54,구매/기타,2022학년도 정시 대학입학정보박람회 참가에 따른 비품 구입,21000,2021-12-08,카드구매
55,구매/기타,컴퓨터공학부 실습재료(라즈베리파이) 구입비 지출,230978,2021-12-08,카드구매
56,구매/기타,[신소재공학과] 실험실습재료 구입요구 #33 (계좌이체),330000,2021-12-08,창조엔지니어링
57,구매/기타,공과대학 소모품 구입(간이책꽂이),20800,2021-12-08,카드구매
58,구매/기타,컴퓨터공학부 실습재료(Beacon) 구입비 지출,133320,2021-12-07,카드구매
59,구매/기타,(신소재공학과)2021학년도 2학기 실험실습재료 구입,140800,2021-12-07,카드구매
60,구매/기타,[예술체육대학 공연예술학과] 수업재료(크로마키외 1종) 구입,96000,2021-12-07,카드구매
61,구매/기타,2021년 안전공학과 PBL 교과목 운영에 따른 재료 구입(12월),1247710,2021-12-07,카드구매
62,구매/기타,회의용 소모품 구매 신청,74700,2021-12-07,카드구매
63,구매/기타,[대학혁신]스마트랩 회의 행사 소모품 구입,270000,2021-12-07,카드구매
64,구매/기타,[대학혁신]스마트랩 회의 행사 소모품 구입,228800,2021-12-07,카드구매
65,구매/기타,(생명과학전공)실험실습재료(포충망 외 3종) 구입,1064690,2021-12-07,카드구매
66,구매/기타,[국어국문] 수업용 재료비 지출(교수연구실 소모품 2차),1106000,2021-12-07,카드구매
67,구매/기타,[신소재공학과] 실험실습재료 구입요구 #31,389400,2021-12-07,카드구매
68,구매/기타,취업경력개발원 홍보물품 구매,1548000,2021-12-07,카드구매
69,구매/기타,(나노바이오전공)소모품(토너회수통 외 4종) 구입,484000,2021-12-07,카드구매
70,구매/기타,(분자의생명전공)실험실습재료(SmGM-2 bulletkit) 구입,2772000,2021-12-07,카드구매
71,구매/기타,(생명과학전공)실험실습재료(물티슈 외 2종) 구입,97400,2021-12-07,카드구매
72,구매/기타,(체육진흥원)사무용품(고무줄 등) 구입,20500,2021-12-07,카드구매
73,구매/기타,[전자] 실험실습재료 견적 요청 15,2510750,2021-12-07,카드구매
74,구매/기타,안전공학과 실험실습재료 구입요구(31),104700,2021-12-07,카드구매
75,구매/기타,[예술체육대학 디자인학부] 수용비(블루투스 동글) 구입,96200,2021-12-07,카드구매
76,구매/기타,인천학연구원 소모품 구입비 지출 건,298900,2021-12-07,카드구매
77,구매/기타,(정보통신공학과)2021학년도 2학기 실험실습재료 구입,428380,2021-12-07,카드구매
78,구매/기타,2022학년도 대학입학전형관리위원회용 의사봉 구입,51250,2021-12-07,카드구매
79,구매/기타,(전기공)2021학년도 2학기 PBL교과목(캡스톤)재료비 지출요청_10월,2445907,2021-12-07,카드구매
80,구매/기타,상패제작,387000,2021-12-07,카드구매
81,구매/기타,2021-2학기 창업프로젝트 실습(2) 실험실습비 지출(7차),317000,2021-12-07,카드구매
82,구매/기타,대외전략 운영 물품 구입,1046500,2021-12-07,카드구매
83,구매/기타,(에너지화학공학과) EATED 재료비 지출(12월),286290,2021-12-07,카드구매
84,구매/기타,(생명과학전공)실험실습재료(T-175 Flask 외 2종) 구입,1100000,2021-12-07,카드구매
85,구매/기타,[문화자치위원회]11월 소모품 구입,1276100,2021-12-06,카드구매
86,구매/기타,중국학술원 사무용품 구매,469600,2021-12-06,카드구매
87,구매/기타,[국제개발협력센터] 부서운영 다과구입,69220,2021-12-06,카드구매
88,구매/기타,임베디드시스템공학과 펌웨어및디바이스드라이버개발 재료 구입,39100,2021-12-06,카드구매
89,구매/기타,기계공학과 수업용 소모품 구입(2021202),52800,2021-12-06,카드구매
90,구매/기타,사회복지학과 물품 구입(학과 편지봉투 제작),165000,2021-12-06,카드구매
91,구매/기타,(전기공)2021 공과대학 EATED프로그램 지출요청_11월,828595,2021-12-06,카드구매
92,구매/기타,[산업경영공학과]실험실습재료 구입(30),630000,2021-12-06,카드구매
93,구매/기타,(디자인학과)2021학년도 2학기 실험실습재료 구입,62200,2021-12-06,카드구매
94,구매/기타,(화학과)2021학년도 2학기 실험실습재료 구입,384000,2021-12-06,카드구매
95,구매/기타,[동북아물류대학원]MOU 체결 명패 제작 요청,105000,2021-12-06,카드구매
96,구매/기타,[국제개발협력센터] 부서운영 사무용품 구입,228000,2021-12-06,카드구매
97,구매/기타,전기공학과 실험실습재료 구입요구(29),505000,2021-12-06,카드구매
98,구매/기타,"[고교교육기여대학지원사업] 2021 고교맞춤컨설팅(하반기) 자료집, 방역키트 등 제작 및 구매",1963500,2021-12-06,카드구매
99,구매/기타,건축 유지관리 소모품 구매,1447600,2021-12-06,카드구매
100,구매/기타,(체육진흥원)사무용품(걸이용압핀) 구입,3800,2021-12-06,카드구매
101,구매/기타,교무과 부서운영에 필요한 물품 구입(명함),100000,2021-12-06,카드구매
102,구매/기타,[예술체육대학 운동건강학부] 자기설계세미나2 도서 구입,277400,2021-12-06,카드구매
103,구매/기타,(체육진흥원-2021대학운동부평가및지원사업)축구부 훈련용품(땀복등) 구매,3150000,2021-12-06,핀타코리아
104,구매/기타,(생명과학전공)실험실습재료(마이크) 구입,128000,2021-12-06,카드구매
105,구매/기타,[국제개발협력센터] 부서운영 사무용품 구입,193900,2021-12-06,카드구매
106,구매/기타,[예술체육대학 디자인학부] 재료비(잉크 4종) 지출,279000,2021-12-06,카드구매
107,구매/기타,[환경공학전공]실험실습비(컬러토너),1194300,2021-12-05,카드구매
108,구매/기타,교육혁신원 구매 물품 견적 의뢰,294000,2021-12-05,카드구매
109,구매/기타,[도시건축학부]실험실습재료 구입(연질아크릴 1T),102500,2021-12-05,카드구매
110,구매/기타,[문헌정보학과] 수업용 재료 구입_21.12.03,91260,2021-12-03,카드구매
111,구매/기타,명함 제작,100000,2021-12-03,카드구매
112,구매/기타,트라이버시티 소모품 구매(a4 등),299870,2021-12-03,카드구매
113,구매/기타,(체육진흥원-시체육회)배드민턴부 훈련용품(라켓등) 구매,6900000,2021-12-03,동승통상
114,구매/기타,(일반대학원)사무용품 구입,109000,2021-12-03,카드구매
115,구매/기타,부서운영 사무용품 구입,316700,2021-12-03,카드구매
116,구매/기타,[문헌정보학과] 수업용 재료 구입_21.12.03,314400,2021-12-03,카드구매
117,구매/기타,사회복지학과 물품 구입(1203),107100,2021-12-03,카드구매
118,구매/기타,기초교육원장 명함 구입,20000,2021-12-02,카드구매
119,구매/기타,(물리학과) 실습비(메모리) 지출 요청,90500,2021-12-02,카드구매
120,구매/기타,트라이버시티 홍보용 기념품 구매,687500,2021-12-02,카드구매
121,구매/기타,(해양학과) 연구실 체험사업 실험실습비 지출요청 (해양환경생물학연구실),599940,2021-12-02,카드구매
122,구매/기타,[인문대학]사무용품 구입,43800,2021-12-02,카드구매
123,구매/기타,(통합)2021-2 기숙사 기말고사기간 간식배부 행사 물품 구입,9720000,2021-12-02,고산실업(주)
124,구매/기타,[신소재공학과] 실험실습재료 구입요구 #30,79684,2021-12-02,카드구매
125,구매/기타,(메카트로닉스공학과) 한유성 교수님 실험실습재료 구입3,117000,2021-12-02,카드구매
126,구매/기타,(생명과학과)2021학년도 2학기 실험실습재료 구입,139600,2021-12-02,카드구매
127,구매/기타,(체육진흥원) 잔디운동장 및 테니스장 열쇠 복사,25000,2021-12-02,카드구매
128,구매/기타,[대학혁신]스마트랩 회의 행사 소모품 구입,178800,2021-12-02,카드구매
129,구매/기타,현관문 손잡이 구매,126500,2021-12-02,카드구매
130,구매/기타,안전공학과 실험실습재료 구입요구(30),401500,2021-12-02,카드구매
131,구매/기타,수학과 2021년 학부생 연구실 체험 지원 사업(2차) 실험실습비 지출_함남우 교수님 연구실,583500,2021-12-02,카드구매
132,구매/기타,(물리학과) 실습비(엔더3 자석 베드) 지출 요청,39300,2021-12-02,카드구매
133,구매/기타,[신소재공학과] 실험실습재료 구입요청 #32,85778,2021-12-02,카드구매
134,구매/기타,(물리학과) 실습비(오리주둥이클립) 지출 요청,65000,2021-12-02,카드구매
135,구매/기타,(임베디드시스템공학과)2021학년도 2학기 실험실습재료 구입,135404,2021-12-02,카드구매
136,구매/기타,조경관리용 고형비료 구입,2970000,2021-12-02,카드구매
137,구매/기타,보건진료소 위생가운 구입(제작),190000,2021-12-02,주안유니폼
138,구매/기타,11월 소방 유지보수용품 구입,6776000,2021-12-01,(주)동양상공사
139,구매/기타,(체육진흥원-시체육회)양궁부 훈련용품(핸들등) 구매,9275000,2021-12-01,M.K Korea
140,구매/기타,(중국학과)2021학년도 2학기 실험실습재료 구입,48000,2021-12-01,카드구매
141,구매/기타,취업역량개발과 복합기 소모품 구입,70000,2021-12-01,카드구매
142,구매/기타,(유아.숲.자연교육학과)2021학년도 2학기 실험실습재료 구입,78000,2021-12-01,카드구매
143,구매/기타,종합상황실 공기청정기 필터 구입,240000,2021-12-01,카드구매
144,구매/기타,[신소재공학과] 실험실습재료 구입요청 #29,108000,2021-12-01,카드구매
145,구매/기타,행사 현수막 제작,60000,2021-12-01,카드구매
146,구매/기타,(화학과) 실험실습재료 구입(GangNam-STAIN Prestained Protein Ladder 외 4종),2095500,2021-12-01,카드구매
147,구매/기타,[대학혁신]스마트랩 사무용품 구입[202100007365유찰건],882100,2021-12-01,카드구매
148,구매/기타,[산업경영공학과]소모품 구입비 지출(29),1188650,2021-12-01,카드구매
149,구매/기타,학생지원과 운영 소모품 구입,109490,2021-12-01,카드구매
150,구매/기타,자연과학대학 기초학문후속세대 육성사업 수여식 진행을 위한 현수막 제작 구매 신청,50000,2021-12-01,카드구매
151,구매/기타,"(체육진흥원-교비)축구부 훈련용품(트레이닝복,운동화) 구매",2291200,2021-12-01,진영상사
152,구매/기타,(도시행정학과)2021학년도 2학기 실험실습재료 구입,47800,2021-11-30,카드구매
153,구매/기타,임베디드시스템공학과 펌웨어및디바이스드라이버개발 재료 구입,44641,2021-11-30,카드구매
154,구매/기타,2021년 전공진로로드맵 업데이트 제작,1534500,2021-11-30,진원디자인프린텍
155,구매/기타,기자대기실 운영 소모품 구매,21000,2021-11-30,카드구매
156,구매/기타,(도시계획정책학과)2021학년도 2학기 실험실습재료 구입,383900,2021-11-30,카드구매
157,구매/기타,[대학혁신](중국 일대일로) 국내 학술회의 인쇄홍보물 제작,370000,2021-11-30,카드구매
158,구매/기타,(생명공학전공)소모품(현수막) 구입,36000,2021-11-30,카드구매
159,구매/기타,공자학원 2021학년도 4학기 중국어 교재 구입,75600,2021-11-30,카드구매
160,구매/기타,[글로벌정경대학] 사무실 소모품 구입,219600,2021-11-30,카드구매
161,구매/기타,홍보팀 명함 제작(일반수용비),100000,2021-11-30,카드구매
162,구매/기타,[국어국문] 수업용 재료비 지출(교수연구실 소모품 1차),487600,2021-11-30,카드구매
163,구매/기타,[IPP형 일학습병행 사업] 사무용품 구매 지출,421580,2021-11-30,카드구매
164,구매/기타,[불어불문] 2021 수업용 재료비 구입 6차,103450,2021-11-30,카드구매
165,구매/기타,(에너지화학공학과) 실험실습재료(스크류캡바이알외 3종) 구입 요구(11),2100000,2021-11-29,카드구매
166,구매/기타,[산업경영공학과]실험실습재료 구입(28),25900,2021-11-29,카드구매
167,구매/기타,[산업경영공학과]소모품 구매 (26),2444110,2021-11-29,카드구매
168,구매/기타,(기계공학과)2021학년도 2학기 실험실습재료 구입,366500,2021-11-29,카드구매
169,구매/기타,(컴퓨터공학과)2021학년도 2학기 실험실습재료 구입,404900,2021-11-29,카드구매
170,구매/기타,[인문대학]입시 물품 구입,7000,2021-11-29,카드구매
171,구매/기타,기계공학과 소모품 구입(20211126),841800,2021-11-29,카드구매
172,구매/기타,(물리학과) 실습비(라텍스 실험장갑) 지출 요청,330000,2021-11-29,카드구매
173,구매/기타,(체육진흥원-시체육회)탁구부 훈련용품(라켓등) 구매,6330400,2021-11-29,주식회사 닛타쿠코리아
174,구매/기타,부서운영소모품 구입,41750,2021-11-29,카드구매
175,구매/기타,중앙제어실 전자개폐기외 3종 설비자재 구입,1485000,2021-11-29,카드구매
176,구매/기타,대형레이저프린터 소모품 구매 의뢰,3986400,2021-11-29,주식회사 티에스원
177,구매/기타,연구혁신팀 사무용품 구입비 지출,107600,2021-11-29,카드구매
178,구매/기타,미추홀포럼 현수막 제작_20211126,100000,2021-11-28,카드구매
179,구매/기타,사무용 소모품 구매(USB 외)_2021.11.25.,109300,2021-11-28,카드구매
180,구매/기타,컴퓨터공학부 실습재료(라즈베리파이 외 6종) 구입비 지출,135625,2021-11-27,카드구매
181,구매/기타,제8회 중국어 말하기 대회 비품 구매,41300,2021-11-26,카드구매
182,구매/기타,(체육진흥원-시체육회)사격부 훈련용품(피복) 구매,1917000,2021-11-26,(주)에스와이
183,구매/기타,상장용지 및 상장케이스 제작 [202100007379 유찰 건],1078000,2021-11-26,카드구매
184,구매/기타,안전공학과 실험실습재료 구입요구(29),616340,2021-11-26,카드구매
185,구매/기타,인천대학교 환경관리용 소모품(종이타월) 구입,8280000,2021-11-26,인천지방조달청
186,구매/기타,(체육학과)2021학년도 2학기 실험실습재료 구입,363660,2021-11-26,카드구매
187,구매/기타,제6회 중국어 능력 경진대회 기념품 구매,240000,2021-11-26,카드구매
188,구매/기타,제8회 중국어 말하기 대회 비품 구매,202400,2021-11-26,카드구매
189,구매/기타,안전공학과 실험실습재료 구입요구(28),599600,2021-11-26,카드구매
190,구매/기타,취업경력개발원 홍보 물품 구매,693000,2021-11-26,주식회사 논노타월
191,구매/기타,[예술체육대학 디자인학부] 수용비(키보드) 구입,69800,2021-11-26,카드구매
192,구매/기타,공공의대 설립 범시민 서명운동 홍보 배너 추가제작(계좌이체),374000,2021-11-26,(주)아이크리에이티브
193,구매/기타,경영대학(원) 교학실 물품 구입(키보드 등),109960,2021-11-26,카드구매
194,구매/기타,학생취업처장실 토너 구입,300200,2021-11-26,카드구매
195,구매/기타,[고교교육기여대학지원사업]2021 학생 교육활동 지원(개별맞춤 역량계발) 프로그램 운영을 위한 문구류 구매,140000,2021-11-26,카드구매
196,구매/기타,[도시건축학부] 실험실습재료 구입(메쉬망 흰색),1976000,2021-11-25,카드구매
197,구매/기타,임베디드시스템공학과 3D프린터실험실습 재료(플레이트) 구입 요청,352000,2021-11-25,카드구매
198,구매/기타,(메카트로닉스공학과) 한유성 교수님 실험실습재료 구입2,225410,2021-11-25,카드구매
199,구매/기타,(메카트로닉스공학과) 차재민 교수님 실험실습재료 구입4,1441000,2021-11-25,카드구매
200,구매/기타,[도시건축학부]실험실습재료 구입(플러스펜 외),47900,2021-11-25,카드구매
201,구매/기타,2021-2학기 창업프로젝트실습(2) 실험실습비 지출(6차),537400,2021-11-25,카드구매
202,구매/기타,체육시설(축구골대 외 1종) 구매,6600000,2021-11-25,대성체육산업
203,구매/기타,(의류학과)2021학년도 2학기 실험실습재료 구입,16000,2021-11-25,카드구매
204,구매/기타,(소비자학과)2021학년도 2학기 실험실습재료 구입,32000,2021-11-25,카드구매
205,구매/기타,무선하이패스 단말기 구입,279500,2021-11-25,카드구매
206,구매/기타,[정보통신공학과] 실험실습 재료(토너) 구매,1280000,2021-11-25,카드구매
207,구매/기타,[도시건축학부] 실험실습재료 구입(컴퓨터실 소모품),2121750,2021-11-25,카드구매
208,구매/기타,(생명과학기술대)소모품(A3용지 등) 구입,53080,2021-11-25,카드구매
209,구매/기타,(메카트로닉스공학과) 차재민 교수님 실험실습재료 구입3,1005270,2021-11-25,카드구매
210,구매/기타,[도시건축학부] 실험실습재료 구입(사무용품 외),463000,2021-11-25,카드구매
211,구매/기타,기계공학과 재료 물품 구입 요청(20211123),2969500,2021-11-25,카드구매
212,구매/기타,각종위원회 운영을 위한 물품 구입,259600,2021-11-25,카드구매
213,구매/기타,기자재 가스 구입(NMR액체질소),693000,2021-11-25,어드밴사이언테크
214,구매/기타,(분자의생명전공)실험실습재료(FBS 500ml) 구입,1320000,2021-11-25,카드구매
215,구매/기타,(행정학과)2021학년도 2학기 실험실습재료 구입,79000,2021-11-24,카드구매
216,구매/기타,소모품구입-Carbon paste,522500,2021-11-24,(주)성창사이언스
217,구매/기타,[영어영문] 수업용 재료비 지출 - 사무용 봉투(대봉투) 제작,320000,2021-11-24,카드구매
218,구매/기타,기초교육원 수업용 소모품 구입,880000,2021-11-24,카드구매
219,구매/기타,동북아발전연구원 사무용품 구매,41900,2021-11-24,카드구매
220,구매/기타,(메카트로닉스공학과)실험실습재료 구입5,108000,2021-11-24,카드구매
221,구매/기타,국제학생회 의전용 피복비 견적의뢰,1199800,2021-11-24,카드구매
222,구매/기타,(체육진흥원-시체육회)사격부 훈련용품(실탄 등) 구매,2840000,2021-11-24,막스맨건
223,구매/기타,정보기술대학 행정용품 구매 지출(열쇠고리 외 6종),98380,2021-11-24,카드구매
224,구매/기타,(건설환경공학과)2021학년도 2학기 실험실습재료 구입,516400,2021-11-24,카드구매
225,구매/기타,(전자공학과)2021학년도 2학기 실험실습재료 구입,185700,2021-11-24,카드구매
226,구매/기타,[문헌정보학과] 수업용 재료 구입_21.11.22(손소독티슈),90300,2021-11-24,카드구매
227,구매/기타,[해양학과] 자연과학대학 실험실습비 지출 요청(건전지),93750,2021-11-24,카드구매
228,구매/기타,TEM Grid,814000,2021-11-24,(주)성창사이언스
229,구매/기타,(메카트로닉스공학과)2021학년도 2학기 실험실습재료 구입,174700,2021-11-24,카드구매
230,구매/기타,부서운영 물품 구매,40800,2021-11-24,카드구매
231,구매/기타,INU어학센터 운영과 직원 명함 구매,20000,2021-11-23,카드구매
232,구매/기타,2021년 하반기 직위표 제작,660000,2021-11-23,카드구매
233,구매/기타,재무회계팀 소모품 구입(버티컬 마우스),38800,2021-11-23,카드구매
234,구매/기타,재무회계팀 물품관리 전산화용품 구입,4400000,2021-11-23,(주)에이스바텍
235,구매/기타,(안전공학과)2021학년도 2학기 실험실습재료 구입,319600,2021-11-23,카드구매
236,구매/기타,2022학년도 수시모집 학생부종합전형 면접 방역 및 기타 물품 구매,7798200,2021-11-23,(주)동양상공사
237,구매/기타,[예술체육대학 디자인학부] 케이블 구입,95200,2021-11-23,카드구매
238,구매/기타,기계공학과 소모품 구입(20211123),88000,2021-11-23,카드구매
239,구매/기타,교원 제증명서 발급 용품구입(a4용지),319200,2021-11-23,카드구매
240,구매/기타,[예술체육대학 공연예술학과] 수업재료(버선) 구입,122500,2021-11-23,카드구매
241,구매/기타,재무회계팀 업무관련 도서 구입,25000,2021-11-23,카드구매
242,구매/기타,경영대학(원) 부학장님실 프린트기 토너 구매,150850,2021-11-23,카드구매
243,구매/기타,(메카트로닉스공학과)실험실습재료 구입4,103200,2021-11-23,카드구매
244,구매/기타,기자재 가스 구입(유성특수가스_아르곤 가스),1430000,2021-11-23,카드구매
245,구매/기타,임베디드시스템공학과 펌웨어및디바이스드라이버개발 재료 구입,44641,2021-11-23,카드구매
246,구매/기타,2022학년도 수시모집 특기자전형 면접고사 관련 사무용품 구입,90650,2021-11-23,카드구매
247,구매/기타,스포츠센터 약품 응집제 구입,792000,2021-11-23,(주)대성케미칼
248,구매/기타,기계공학과 소모품 구입(20211123),88000,2021-11-23,카드구매
249,구매/기타,입시종사자용 보온대 구입,31700,2021-11-22,카드구매
250,구매/기타,(생명과학과)2021학년도 2학기 실험실습재료 구입,482850,2021-11-22,카드구매
251,구매/기타,임베디드시스템공학과 펌웨어및디바이스드라이버 재료 구입,497200,2021-11-22,카드구매
252,구매/기타,부서운영소모품 구입,126070,2021-11-22,카드구매
253,구매/기타,(산업경영공학과)2021학년도 2학기 실험실습재료 구입,190000,2021-11-22,카드구매
254,구매/기타,2022학년도 수시모집 학생부종합전형 면접 운영 물품,3491500,2021-11-22,대동사
255,구매/기타,안전공학과 실험실습재료 구입요구(27),331880,2021-11-22,카드구매
256,구매/기타,대학혁신사업단 신규공간구축 아크릴 현판 구입 비용 지출,3100000,2021-11-22,카드구매
257,구매/기타,사회과학연구원 사무용품 구입,572000,2021-11-22,카드구매
258,구매/기타,(생명과학부)실험실습재료(해부용 마우스) 구입,144000,2021-11-22,카드구매
259,구매/기타,(패션산업학과) 캡스톤 디자인 패션기획 발표회에 따른 행사비 지출 의뢰(재료비),4700,2021-11-22,카드구매
260,구매/기타,[대학혁신] 해양교육문화 활성화 정책 전문가 토론회 행사비품 구입,2310000,2021-11-22,카드구매
261,구매/기타,[산업경영공학과]실험실습재료 구입(25),96900,2021-11-22,카드구매
262,구매/기타,시설관리 소모품 구입(가시철망 외 1종),1962400,2021-11-22,카드구매
263,구매/기타,2022학년도 수시모집 11월 면접고사용 소모품(건전지) 구입,10880,2021-11-22,카드구매
264,구매/기타,"모조지, 스테플러, 스테플러심 등 구입",29080,2021-11-22,카드구매
265,구매/기타,[신소재공학과] 실험실습재료 구입요구 #28,493900,2021-11-22,카드구매
266,구매/기타,(생명과학부)실험실습재료(RodFeed 사료 외 1종) 구입,44000,2021-11-22,카드구매
267,구매/기타,[문헌정보학과] 수업용 재료 구입_21.11.19,529800,2021-11-22,카드구매
268,구매/기타,(생명과학전공)실험실습재료(밀웜 외 2종) 구입,42100,2021-11-22,카드구매
269,구매/기타,수학과 2021년 학부생 연구실 체험 지원 사업(2차) 실험실습비 지출_최원 교수님 연구실,529300,2021-11-20,카드구매
270,구매/기타,소비자학과 실험실습 재료 구입 - 일체형비접촉 손소독 온도감지기 SET,450000,2021-11-20,카드구매
271,구매/기타,대외전략과 명함 제작,75000,2021-11-19,카드구매
272,구매/기타,부서운영 소모품 구매,39940,2021-11-19,카드구매
273,구매/기타,기초교육원 시험용 소모품 구입(토너),960250,2021-11-19,카드구매
274,구매/기타,(에너지화학공학과)2021학년도 2학기 실험실습재료 구입,236500,2021-11-19,카드구매
275,구매/기타,(물리학과)2021학년도 2학기 실험실습재료 구입,240000,2021-11-19,카드구매
276,구매/기타,취업역량개발과 직원 명함 제작비 지출,60000,2021-11-19,카드구매
277,구매/기타,취업경력개발원 홍보 현수막 제작 의뢰,540000,2021-11-19,카드구매
278,구매/기타,(나노바이오전공)소모품(스카치테이프외 6종) 구입,51900,2021-11-19,카드구매
279,구매/기타,(패션산업학과) 캡스톤 디자인 패션기획 발표회에 따른 행사비 지출 의뢰(인쇄비),169400,2021-11-19,카드구매
