물품,토큰,계약금액,계약일
전기공학과-김준동 신임교수 비품,"['김준', '신임', '교수', '비품']",1992860,2013-08-30
보건진료소 약품,"['보건', '진료', '약품']",4580400,2013-09-02
임베디드시스템공학부 창의공학실험세트,"['임베디드', '시스템', '학부', '창의', '공학', '실험', '세트']",14400000,2013-09-03
정보기술대학 임베디드시스템공학과 신임교수 교수실 비품,"['신임', '교수', '교수', '비품']",1933150,2013-09-03
임베디드시스템공학부 TMDSDSK6713 외 1종,"['임베디드', '시스템', '학부']",11462000,2013-09-03
패션산업학과 컴퓨터 및 모니터,"['컴퓨터', '모니터']",11454520,2013-09-04
(패션산업학과)교육용기자재 타블렛 세트,"['교육', '용기', '자재', '타블렛', '세트']",1580000,2013-09-04
컴퓨터공학부 로봇비젼실습장비,"['로봇', '비젼', '실습', '장비']",10670000,2013-09-04
교육대학원 학교현장실습 기념품(usb 북스텐드),"['교육대학', '학교', '현장', '실습', '기념품', '북스텐드']",2750000,2013-09-04
컴퓨터공학부 네트워크시스템,"['네트워크', '시스템']",27500000,2013-09-05
"영어영문학과 신임교수(윤소연,전신화) 집기","['신임', '교수', '소연', '전신', '집기']",3835570,2013-09-06
평생교육원 학점은행제(체육학과) 강의 물품,"['평생교육', '학점은행제', '체육', '학과', '강의', '물품']",1840000,2013-09-09
학생문화자치위원회 tv 및 청소기,"['학생', '문화', '자치', '위원회', '청소기']",1435270,2013-09-10
컴퓨터공학부 컴퓨터,['컴퓨터'],37400880,2013-09-10
산업경영공학과-김병수 연구실 비품,"['김병수', '연구실', '비품']",1890000,2013-09-11
안전공학과 신임(송창근)교수 비품,"['신임', '송창근', '교수', '비품']",1987640,2013-09-11
임베디드시스템공학과 서버/스토리지시스템,"['서버', '스토리', '시스템']",82500000,2013-09-11
체육학부 동작분석카메라 외 1종,"['동작', '분석', '카메라']",25000000,2013-09-16
학생생활상담소 제물포캠퍼스 적성검사 실시에 따른 검사지,"['학생', '생활', '담소', '제물포', '캠퍼스', '적성검사', '실시', '검사']",4735500,2013-09-16
체육학부 2013년도 교육용 실험실습기자재(균형감각 훈련용 보드 Set 외),"['교육', '실험실', '습기', '자재', '균형감각', '훈련', '보드']",6250000,2013-09-16
2013-2학기 전임교원 전화기,"['학기', '전임', '교원', '전화기']",11330000,2013-09-24
컴퓨터공학부 아두이노실습키드,"['아두이노', '실습', '키드']",13050000,2013-09-26
건축자재,"['건축', '자재']",2755500,2013-09-27
예술체육대학 체육학부 교육용 실험실습기자재(디지털 배근력측정기 외),"['교육', '실험실', '습기', '자재', '디지털', '배근', '측정기']",7555000,2013-09-27
에너지화학공학과 IV측정장비,"['측정', '장비']",31000000,2013-09-30
(법과대) 실험실습지가재 전자교탁 외 4종,"['과대', '실험실', '습지', '가재', '전자', '교탁']",7504000,2013-09-30
생활원 청소 물품,"['생활', '청소', '물품']",2731630,2013-09-30
전자공학과 기자재(노트북 외),"['자재', '노트북']",5831910,2013-09-30
임베디드시스템공학과 열화상카메라 외 1종,"['화상', '카메라']",94729220,2013-09-30
도시건축학부 실험실습 재료(와이어 외),"['실험', '실습', '재료', '와이어']",1238600,2013-10-01
안전공학과 기자재(전자저울),"['자재', '전자', '저울']",1650000,2013-10-01
비도서(전공분야별 BBC영상물) 자료,"['비도', '전공', '분야', '영상', '자료']",13754400,2013-10-02
2013학년도 디자인학부 종합작품전 행사용품,"['학년', '종합', '작품', '행사', '용품']",10199200,2013-10-02
영상회의실 회의용마이크 예비 부품,"['영상', '회의실', '회의', '마이크', '예비', '부품']",2791800,2013-10-04
신소재공학과 교육용기자재(센서제어실험장치),"['교육', '용기', '자재', '센서', '제어', '실험', '장치']",2300000,2013-10-07
동아리 연합회 복사기,"['동아리', '연합', '복사기']",2970000,2013-10-08
전자공학과 오실로스코프 외 3종,['오실로스코프'],15476500,2013-10-08
신소재공학과 기자재(디지털오실로스코프),"['자재', '디지털', '오실로스코프']",4125000,2013-10-10
네트워크 재료비,"['네트워크', '재료']",9141000,2013-10-10
자동차공학전공 기자재,"['자동차', '공학', '전공', '자재']",7000000,2013-10-10
운동건강학부기자재(Scuba Prime Set 외),['자재'],9789600,2013-10-11
기사대기실 비품,"['기사', '대기실', '비품']",5197010,2013-10-11
기사대기실 비품,"['기사', '대기실', '비품']",1024000,2013-10-14
운동건강학부 Red-core work station 외 3종,[],40500000,2013-10-14
산업경영공학과 생체신호처리장치,"['생체', '신호', '처리장치']",48195000,2013-10-14
예술체육대학 제물포캠퍼스 운동건강학부 복식 배드민턴대회 운동용품,"['제물포', '캠퍼스', '복식', '배드민턴', '대회', '운동', '용품']",3780000,2013-10-14
메카트로닉스공학전공 함수발생기 외 3종,"['전공', '함수', '발생']",57990000,2013-10-14
자료정리용품,"['자료', '정리', '용품']",9590000,2013-10-15
전자도서(e-book),['전자도서'],29400000,2013-10-15
물품관리 RFID 태그 소모품,"['물품', '관리', '태그', '소모품']",17413000,2013-10-16
전자공학과 서버,['서버'],23408000,2013-10-17
2013학년도 2학기 중간고사 간식,"['학년', '학기', '중간고사', '간식']",4560000,2013-10-17
정보통신공학과 노트북,['노트북'],17700000,2013-10-21
문헌정보학과 기자재 (노트북 외),"['자재', '노트북']",3496770,2013-10-22
전자공학과 센서네트워크 실습장비,"['센서', '네트워크', '실습', '장비']",15048000,2013-10-22
자동증명발급기 프린터 소모폼,"['자동증', '발급', '프린터', '소모']",2603920,2013-10-22
도시환경공학부(환경공학전공)기자재-복합가스측정기,"['전공', '자재', '복합', '가스', '측정기']",9130000,2013-10-22
체육학부 소프트웨어 (SMI Eye Tracking Analysis Software),['소프트웨어'],4400000,2013-10-23
정보통신공학과 소프트웨어,['소프트웨어'],11132000,2013-10-23
환경공학전공 실험실습기자재(디지털 멀티미터),"['전공', '실험실', '습기', '자재', '디지털', '멀티미터']",6776000,2013-10-23
[제물포캠퍼스]운동건강학부 2013 AEROBIC GYMNASTICS KOREA OPEN 대표선발전 출전에 따른 용품,"['제물포', '캠퍼스', '대표', '발전', '출전', '용품']",4110000,2013-10-23
컴퓨터공학과 교육용소프트웨어,"['컴퓨터공학', '교육', '소프트웨어']",20500000,2013-10-24
인천대학교 송도캠퍼스 전기소모자재,"['인천대학교', '송도', '캠퍼스', '자재']",9207000,2013-10-24
정보통신공학과 교육용 소프트웨어(EM3DS12),"['교육', '소프트웨어']",1540000,2013-10-28
세무회계과 교육용 기자재(레이져프린터),"['세무', '회계', '교육', '자재', '레이져', '프린터']",1683030,2013-10-28
기계로봇공학전공교육용기자재(AE 센서),"['기계', '로봇공학', '공교육', '용기', '자재', '센서']",8910000,2013-10-28
2013학년도 사범대학 멀티미디어실 기자재(소니카메라 외),"['학년', '멀티미디어', '자재', '소니', '카메라']",9980000,2013-10-29
서버가상화 자료백업용 스토리지 할당을 위한 SAN 스위치 모듈,"['서버', '가상화', '자료', '백업', '스토리', '할당', '스위치', '모듈']",4290000,2013-10-29
교수연구실 붙박이장,"['교수', '연구실', '이장']",22539000,2013-10-29
도시건설공학전공 개인용컴퓨터 외 6종,"['도시', '건설', '공학', '전공', '개인', '컴퓨터']",20893970,2013-10-30
물품보관함,"['물품', '보관']",9240000,2013-10-30
체육교육과 컴퓨터 터치스크린 신경인지시스템,"['컴퓨터', '터치스크린', '신경', '시스템']",42700000,2013-10-31
수학교육과 Mathematica 9.0,[],14701500,2013-11-01
송도 및 제물포캠퍼스 청소용품(운반구 외 28종),"['송도', '제물포', '캠퍼스', '청소', '용품', '반구']",3983000,2013-11-01
안전공학과 고속Dizitizer,['고속'],28036470,2013-11-01
게스트하우스 노트북,"['게스트하우스', '노트북']",6384290,2013-11-04
도서관 일반열람실 좌석발급기 추가,"['도서관', '일반', '열람', '좌석', '발급', '추가']",9300000,2013-11-04
자동차공학전공 교육용소프트웨어,"['자동차', '공학', '전공', '교육', '소프트웨어']",9900000,2013-11-04
물리학과 초고감도 CMOS 이미지센서 외 1종,"['초고', '이미지', '센서']",29200000,2013-11-04
자동차공학전공 하이브리드진단 시뮬레이션,"['자동차', '공학', '전공', '하이브리드', '진단', '시뮬레이션']",35000000,2013-11-04
생활원 데스크톱컴퓨터 및 모니터,"['생활', '데스크톱', '컴퓨터', '모니터']",24582030,2013-11-04
해양학과 소프트웨어 (STELLA program),['소프트웨어'],1072500,2013-11-06
2013학년 사회복지학과 기자재(메가폰 외),"['학년', '자재', '메가폰']",1795630,2013-11-06
건축공학전공 기자재,"['전공', '자재']",3200000,2013-11-06
행정학과 기자재,['자재'],2895550,2013-11-06
예술체육대학 공연예술학과 실험실습 소프트웨어,"['실험', '실습', '소프트웨어']",3072300,2013-11-06
사범대학 영어교육과 기자재(북스캐너),"['자재', '스캐너']",1915270,2013-11-06
패션산업학과 교육용소프트웨어,"['교육', '소프트웨어']",5649600,2013-11-07
공연예술학과 HD모니터 외 7종,['모니터'],13490000,2013-11-07
기획평가팀 대학평가 통계분석 소프트웨어 패키지,"['기획', '평가', '대학평가', '통계', '분석', '소프트웨어', '패키지']",47500000,2013-11-07
전자도서관 전자책(E-book),"['전자', '도서관', '전자책']",19600000,2013-11-07
생활원 환경개선에 따른 냉장고,"['생활', '환경', '개선', '냉장고']",4481400,2013-11-08
생활원 주방가전,"['생활', '주방', '가전']",2494800,2013-11-08
공연예술학과 기자재,['자재'],2607000,2013-11-08
2013년도 사범대학 수학교육과 교육용 기자재(무반사 법랑화이트보드)),"['교육', '자재', '반사', '법랑', '화이트보드']",6516400,2013-11-08
건축학전공 휴대용소음분석계,"['건축학', '전공', '휴대', '소음', '분석']",10000000,2013-11-08
도시건축학부(건축학전공) 실험실습기자재(유니맷 메탈란인 에듀세트),"['건축학', '전공', '실험실', '습기', '자재', '유니', '메탈', '에듀', '세트']",2860000,2013-11-08
교수학습지원센터 2013-2 소그룹지원 상품권,"['교수', '학습', '지원', '센터', '그룹', '지원', '상품권']",11540000,2013-11-11
조경수목 월동자재,"['수목', '월동', '자재']",4636500,2013-11-11
생활원 체육 시설 확충 및 정비 체육물품,"['생활', '체육', '시설', '확충', '정비', '체육', '물품']",2958500,2013-11-11
체육교육과 무선근전도시스템용센서,"['무선', '전도', '시스템', '센서']",12760000,2013-11-11
정보통신학과 교육용소프트웨어 (CodeVisionAVR Advanced),"['정보통', '학과', '교육', '소프트웨어']",1364000,2013-11-11
인천대학교 송도캼퍼스 보안등 LED램프,"['인천대학교', '송도', '퍼스', '보안등', '램프']",9548000,2013-11-11
생활원 체육시설 확충 및 정비계획에 따른,"['생활', '체육', '시설', '확충', '정비', '계획']",4200000,2013-11-11
기계로봇공학전공 Hand held 진동계측시스템,"['기계', '로봇공학', '전공', '진동', '시스템']",32890000,2013-11-12
(제물포) 전기공학과 교육용 소프트웨어(PSIM),"['제물포', '교육', '소프트웨어']",2960100,2013-11-12
생활원 주방용품,"['생활', '주방용품']",2800000,2013-11-12
신소재공학과 원자층증착콘트롤랙,"['원자', '증착', '콘트롤랙']",14100000,2013-11-12
신소재공학과 소프트웨어(원자층증착법 프로그램),"['소프트웨어', '원자', '증착', '프로그램']",5000000,2013-11-13
기계로봇공학전공 기자재 (로크웰경도기),"['기계', '로봇공학', '전공', '자재', '로크웰경도']",5700000,2013-11-13
시설관리직원 동절기용 작업복,"['시설', '관리직', '동절', '기용', '작업복']",7200000,2013-11-13
물리학과 교육용소프트웨어( Matlab 외),"['교육', '소프트웨어']",1999800,2013-11-14
학생복지센터 플로터,"['학생복', '센터', '플로터']",6334020,2013-11-14
디자인학부 MAC PC,[],47685000,2013-11-15
건축학전공 열화상카메0라,"['건축학', '전공', '화상', '카메']",13200000,2013-11-15
예술체육대학 기자재(컴퓨터 외),"['자재', '컴퓨터']",2000000,2013-11-15
학사업무 전산서식,"['학사', '업무', '전산', '서식']",1395000,2013-11-18
