번호,구분,계약명,계약금액,계약일,계약상대자
147,구매/기타,수학과 2021년 학부생 연구실 체험 지원 사업(2차) 실험실습비 지출_함남우 교수님 연구실,583500,2021-12-02,카드구매
148,구매/기타,(물리학과) 실습비(엔더3 자석 베드) 지출 요청,39300,2021-12-02,카드구매
149,용역,"제20회, 제21회 코로나19 확진자 발생에 따른 긴급방역 실시",550000,2021-12-02,대성
150,구매/기타,(체육진흥원) 잔디운동장 및 테니스장 열쇠 복사,25000,2021-12-02,카드구매
151,구매/기타,[대학혁신]스마트랩 회의 행사 소모품 구입,178800,2021-12-02,카드구매
152,구매/기타,현관문 손잡이 구매,126500,2021-12-02,카드구매
153,구매/기타,안전공학과 실험실습재료 구입요구(30),401500,2021-12-02,카드구매
154,구매/기타,[신소재공학과] 실험실습재료 구입요청 #32,85778,2021-12-02,카드구매
155,구매/기타,(물리학과) 실습비(오리주둥이클립) 지출 요청,65000,2021-12-02,카드구매
156,공사,정밀안전진단 결과에 따른 콘크리트 보수 공사,16181000,2021-12-02,성경건설(주)
157,구매/기타,[인문대학]사무용품 구입,43800,2021-12-02,카드구매
158,구매/기타,(생명과학과)2021학년도 2학기 실험실습재료 구입,139600,2021-12-02,카드구매
159,용역,캠퍼스 시설물 보수,2904000,2021-12-02,인정기업
160,구매/기타,(메카트로닉스공학과) 한유성 교수님 실험실습재료 구입3,117000,2021-12-02,카드구매
161,자산,[건설환경공학전공]교수 행정용 PC본체 구입(안정규 교수),999000,2021-12-02,카드구매
162,구매/기타,2022 국내전자정보 KS WEB 구독 계약 의뢰,8400000,2021-12-02,한국표준협회
163,공사,사범대학 위생설비 환경개선(1~3층) 및 미래관 진공보일러 보수 공사,5907000,2021-12-02,삼우기공
164,구매/기타,[신소재공학과] 실험실습재료 구입요구 #30,79684,2021-12-02,카드구매
165,구매/기타,(임베디드시스템공학과)2021학년도 2학기 실험실습재료 구입,135404,2021-12-02,카드구매
166,구매/기타,조경관리용 고형비료 구입,2970000,2021-12-02,카드구매
167,구매/기타,보건진료소 위생가운 구입(제작),190000,2021-12-02,주안유니폼
168,구매/기타,기초교육원장 명함 구입,20000,2021-12-02,카드구매
169,구매/기타,(물리학과) 실습비(메모리) 지출 요청,90500,2021-12-02,카드구매
170,구매/기타,행사 현수막 제작,60000,2021-12-01,카드구매
171,구매/기타,취업역량개발과 복합기 소모품 구입,70000,2021-12-01,카드구매
172,구매/기타,[대학혁신]스마트랩 사무용품 구입[202100007365유찰건],882100,2021-12-01,카드구매
173,구매/기타,[산업경영공학과]소모품 구입비 지출(29),1188650,2021-12-01,카드구매
174,자산,(분자의생명전공)교육용 기자재(액체질소보관용기) 구입,3300000,2021-12-01,카드구매
175,구매/기타,[신소재공학과] 실험실습재료 구입요청 #29,108000,2021-12-01,카드구매
176,자산,(해양학과) 자연과학대학 교육연구기자재 구입 지출 요청 (순수 및 초순수 제조장치),4950000,2021-12-01,(주)미래에스티
177,구매/기타,종합상황실 공기청정기 필터 구입,240000,2021-12-01,카드구매
178,구매/기타,(체육진흥원-시체육회)양궁부 훈련용품(핸들등) 구매,9275000,2021-12-01,M.K Korea
179,구매/기타,(화학과) 2021년도 교육용 소프트웨어 구입(Adobe),530000,2021-12-01,주식회사 아이에스시지
180,구매/기타,학생지원과 운영 소모품 구입,109490,2021-12-01,카드구매
181,구매/기타,자연과학대학 기초학문후속세대 육성사업 수여식 진행을 위한 현수막 제작 구매 신청,50000,2021-12-01,카드구매
182,구매/기타,"(체육진흥원-교비)축구부 훈련용품(트레이닝복,운동화) 구매",2291200,2021-12-01,진영상사
183,구매/기타,11월 소방 유지보수용품 구입,6776000,2021-12-01,(주)동양상공사
184,구매/기타,(중국학과)2021학년도 2학기 실험실습재료 구입,48000,2021-12-01,카드구매
185,구매/기타,(유아.숲.자연교육학과)2021학년도 2학기 실험실습재료 구입,78000,2021-12-01,카드구매
186,구매/기타,가습기 구입,158000,2021-12-01,카드구매
187,구매/기타,(화학과) 실험실습재료 구입(GangNam-STAIN Prestained Protein Ladder 외 4종),2095500,2021-12-01,카드구매
188,구매/기타,[IPP형 일학습병행 사업] 사무용품 구매 지출,421580,2021-11-30,카드구매
189,용역,인천대 미래교육센터 예약관리 앱 개발 계약 의뢰,5335000,2021-11-30,주식회사 누리아이
190,구매/기타,법률상담실 운영관련 물품 구매 요청,240100,2021-11-30,카드구매
191,구매/기타,홍보팀 명함 제작(일반수용비),100000,2021-11-30,카드구매
192,자산,[해양학과] 자연과학대학 교육연구기자재 구입 지출 요청 (프린터),851400,2021-11-30,카드구매
193,자산,메카트로닉스공학과 교육용 기자재 구입4,16896000,2021-11-30,(주)알앤비
194,구매/기타,[국어국문] 수업용 재료비 지출(교수연구실 소모품 1차),487600,2021-11-30,카드구매
195,구매/기타,공자학원 2021학년도 4학기 중국어 교재 구입,75600,2021-11-30,카드구매
196,구매/기타,[글로벌정경대학] 사무실 소모품 구입,219600,2021-11-30,카드구매
197,구매/기타,임베디드시스템공학과 펌웨어및디바이스드라이버개발 재료 구입,44641,2021-11-30,카드구매
198,용역,자연대학 압축공기 AIR COMPRESSOR AIREND 고장 보수,4481400,2021-11-30,경원산업기계
199,구매/기타,2021년 전공진로로드맵 업데이트 제작,1534500,2021-11-30,진원디자인프린텍
200,구매/기타,기자대기실 운영 소모품 구매,21000,2021-11-30,카드구매
201,구매/기타,[대학혁신](중국 일대일로) 국내 학술회의 인쇄홍보물 제작,370000,2021-11-30,카드구매
202,구매/기타,(도시계획정책학과)2021학년도 2학기 실험실습재료 구입,383900,2021-11-30,카드구매
203,구매/기타,[불어불문] 2021 수업용 재료비 구입 6차,103450,2021-11-30,카드구매
204,구매/기타,(도시행정학과)2021학년도 2학기 실험실습재료 구입,47800,2021-11-30,카드구매
205,구매/기타,(생명공학전공)소모품(현수막) 구입,36000,2021-11-30,카드구매
206,용역,송도캠퍼스 공과대학 16호기 1층 승강장 도어 하부레일 교체 수리,594000,2021-11-29,카드구매
207,용역,캠퍼스 시설물 보수,2893000,2021-11-29,성경건설(주)
208,용역,2022학년도 수시 면접고사 OMR카드 제작 및 리딩기 렌탈,2090000,2021-11-29,인퍼블릭
209,구매/기타,(컴퓨터공학과)2021학년도 2학기 실험실습재료 구입,404900,2021-11-29,카드구매
210,구매/기타,대형레이저프린터 소모품 구매 의뢰,3986400,2021-11-29,주식회사 티에스원
211,구매/기타,[인문대학]입시 물품 구입,7000,2021-11-29,카드구매
212,구매/기타,연구혁신팀 사무용품 구입비 지출,107600,2021-11-29,카드구매
213,구매/기타,2022 해외전자정보 PQDT Global 구독요금 지출,20067000,2021-11-29,프로퀘스트인포메이션앤러닝리미티드(영업소)
214,구매/기타,중앙제어실 전자개폐기외 3종 설비자재 구입,1485000,2021-11-29,카드구매
215,구매/기타,기계공학과 소모품 구입(20211126),841800,2021-11-29,카드구매
216,구매/기타,(물리학과) 실습비(라텍스 실험장갑) 지출 요청,330000,2021-11-29,카드구매
217,구매/기타,부서운영소모품 구입,41750,2021-11-29,카드구매
218,구매/기타,(기계공학과)2021학년도 2학기 실험실습재료 구입,366500,2021-11-29,카드구매
219,구매/기타,[산업경영공학과]실험실습재료 구입(28),25900,2021-11-29,카드구매
220,구매/기타,(에너지화학공학과) 실험실습재료(스크류캡바이알외 3종) 구입 요구(11),2100000,2021-11-29,카드구매
221,구매/기타,[산업경영공학과]소모품 구매 (26),2444110,2021-11-29,카드구매
222,구매/기타,(체육진흥원-시체육회)탁구부 훈련용품(라켓등) 구매,6330400,2021-11-29,주식회사 닛타쿠코리아
223,구매/기타,외국인지원센터 물품구입(복사용지),88360,2021-11-29,카드구매
224,구매/기타,미추홀포럼 현수막 제작_20211126,100000,2021-11-28,카드구매
225,구매/기타,사무용 소모품 구매(USB 외)_2021.11.25.,109300,2021-11-28,카드구매
226,구매/기타,컴퓨터공학부 실습재료(라즈베리파이 외 6종) 구입비 지출,135625,2021-11-27,카드구매
227,구매/기타,제6회 중국어 능력 경진대회 기념품 구매,240000,2021-11-26,카드구매
228,구매/기타,학생취업처장실 토너 구입,300200,2021-11-26,카드구매
229,구매/기타,[고교교육기여대학지원사업]2021 학생 교육활동 지원(개별맞춤 역량계발) 프로그램 운영을 위한 문구류 구매,140000,2021-11-26,카드구매
230,자산,[예술체육대학 공연예술학과]국비(성과관리사업) 교육용기자재(조명기외 1종) 구입,2497000,2021-11-26,나인기획
231,구매/기타,2022 국내전자정보 로앤비(LawnB) 구독요금 지출,7571000,2021-11-26,(주)지디아이
232,공사,2021년 소방작동기능점검 보수공사,20968000,2021-11-26,옹진전력(주)
233,공사,"송도캠퍼스 27,28,29호관 옥외 조도 개선 공사",21150000,2021-11-26,주식회사 범진아이앤씨
234,구매/기타,상장용지 및 상장케이스 제작 [202100007379 유찰 건],1078000,2021-11-26,카드구매
235,구매/기타,안전공학과 실험실습재료 구입요구(28),599600,2021-11-26,카드구매
236,구매/기타,[예술체육대학 디자인학부] 수용비(키보드) 구입,69800,2021-11-26,카드구매
237,구매/기타,공공의대 설립 범시민 서명운동 홍보 배너 추가제작(계좌이체),374000,2021-11-26,(주)아이크리에이티브
238,구매/기타,취업경력개발원 홍보 물품 구매,693000,2021-11-26,주식회사 논노타월
239,구매/기타,2022 국내전자정보 모아진(전자잡지) 아카데미 DB 구독요금 지출,7820000,2021-11-26,주식회사 플랜티엠
240,구매/기타,제8회 중국어 말하기 대회 비품 구매,202400,2021-11-26,카드구매
241,공사,"바이오,해양클러스터관 건립 관급자재 구매(알루미늄창호) 계약의뢰",331110450,2021-11-26,인천지방조달청
242,구매/기타,안전공학과 실험실습재료 구입요구(29),616340,2021-11-26,카드구매
243,구매/기타,2022 국내전자정보 교보문고 스콜라 구독요금 지출,13308000,2021-11-26,(주)교보문고
244,구매/기타,(체육학과)2021학년도 2학기 실험실습재료 구입,363660,2021-11-26,카드구매
245,구매/기타,인천대학교 환경관리용 소모품(종이타월) 구입,8280000,2021-11-26,인천지방조달청
246,자산,[예술체육대학 공연예술학과]국비(성과관리사업) 교육용SW(애플교육용앱) 구입,249000,2021-11-26,카드구매
247,구매/기타,경영대학(원) 교학실 물품 구입(키보드 등),109960,2021-11-26,카드구매
248,구매/기타,제8회 중국어 말하기 대회 비품 구매,41300,2021-11-26,카드구매
249,구매/기타,(체육진흥원-시체육회)사격부 훈련용품(피복) 구매,1917000,2021-11-26,(주)에스와이
250,자산,(대학혁신지원사업)전자교탁 컴퓨터 구입 교체,28087500,2021-11-26,인천지방조달청
251,공사,국비)공대 및 자연대 홍보영상을 위한 모니터 설치 공사,5500000,2021-11-26,주식회사 한성이엔지
252,구매/기타,체육시설(축구골대 외 1종) 구매,6600000,2021-11-25,대성체육산업
253,구매/기타,각종위원회 운영을 위한 물품 구입,259600,2021-11-25,카드구매
254,구매/기타,임베디드시스템공학과 3D프린터실험실습 재료(플레이트) 구입 요청,352000,2021-11-25,카드구매
255,구매/기타,(메카트로닉스공학과) 차재민 교수님 실험실습재료 구입3,1005270,2021-11-25,카드구매
256,구매/기타,(분자의생명전공)실험실습재료(FBS 500ml) 구입,1320000,2021-11-25,카드구매
257,구매/기타,(생명과학기술대)소모품(A3용지 등) 구입,53080,2021-11-25,카드구매
258,용역,동북아발전연구원 SSCI급 저널 에디터 용역 계약의뢰,19800000,2021-11-25,(주)글로벌콘텐츠출판그룹
259,구매/기타,2022 국내전자정보 KSDC DB 구독요금 지출,2460000,2021-11-25,사단법인 한국사회과학데이터센
260,구매/기타,[도시건축학부] 실험실습재료 구입(사무용품 외),463000,2021-11-25,카드구매
261,구매/기타,무선하이패스 단말기 구입,279500,2021-11-25,카드구매
262,구매/기타,[정보통신공학과] 실험실습 재료(토너) 구매,1280000,2021-11-25,카드구매
263,구매/기타,[도시건축학부] 실험실습재료 구입(컴퓨터실 소모품),2121750,2021-11-25,카드구매
264,구매/기타,(의류학과)2021학년도 2학기 실험실습재료 구입,16000,2021-11-25,카드구매
265,구매/기타,(소비자학과)2021학년도 2학기 실험실습재료 구입,32000,2021-11-25,카드구매
266,구매/기타,(메카트로닉스공학과) 차재민 교수님 실험실습재료 구입4,1441000,2021-11-25,카드구매
267,구매/기타,(메카트로닉스공학과) 한유성 교수님 실험실습재료 구입2,225410,2021-11-25,카드구매
268,구매/기타,[도시건축학부]실험실습재료 구입(플러스펜 외),47900,2021-11-25,카드구매
269,자산,(에너지화학공학과) 교육용 기자재(노트북) 구입 요구(9),20655000,2021-11-25,에스앤씨컴퍼니 주식회사
270,공사,인천대학교 멀리뛰기장 조성 공사,4102000,2021-11-25,대성체육산업
271,구매/기타,[도시건축학부] 실험실습재료 구입(메쉬망 흰색),1976000,2021-11-25,카드구매
272,구매/기타,기계공학과 재료 물품 구입 요청(20211123),2969500,2021-11-25,카드구매
273,구매/기타,2021-2학기 창업프로젝트실습(2) 실험실습비 지출(6차),537400,2021-11-25,카드구매
